fecha,PM25LE
04-mar-10,8.604166
05-mar-10,16.0375
06-mar-10,14.329165
07-mar-10,11.225001
08-mar-10,8.1583328
09-mar-10,7.3458333
10-mar-10,5.8791666
11-mar-10,7.4250007
12-mar-10,15.208333
13-mar-10,12.783333
14-mar-10,9.5222225
15-mar-10,11.673913
16-mar-10,13.675
17-mar-10,8.5666666
18-mar-10,9.3666668
19-mar-10,15.658334
20-mar-10,7.0333328
21-mar-10,7.4125009
22-mar-10,8.6208334
23-mar-10,11.587499
24-mar-10,15.179168
25-mar-10,16.583334
26-mar-10,13.966665
27-mar-10,12.708334
28-mar-10,8.750001
29-mar-10,10.508333
30-mar-10,11.599998
31-mar-10,15.166666
01apr2010,13.758334
02apr2010,14.275
03apr2010,10.275001
04apr2010,14.379166
05apr2010,27.183331
06apr2010,23.212502
07apr2010,41.5
08apr2010,52.329166
09apr2010,59.758335
10apr2010,46.479172
11apr2010,22.379166
12apr2010,44.679169
13apr2010,57.72084
14apr2010,51.270836
15apr2010,95.8125
16apr2010,43.954163
17apr2010,31.100004
18apr2010,25.558334
19apr2010,15.425
20apr2010,24.433334
21apr2010,59.758335
22apr2010,89.050018
23apr2010,53.691666
24apr2010,74.520821
25apr2010,57.091667
26apr2010,60.770836
27apr2010,51.820835
28apr2010,61.833332
29apr2010,69.729179
30apr2010,80.786354
01-may-10,60.200867
02-may-10,32.245014
03-may-10,40.413086
04-may-10,46.51104
05-may-10,34.851162
06-may-10,105.87904
07-may-10,90.669388
08-may-10,92.140976
09-may-10,70.247063
10-may-10,74.213623
11-may-10,105.9605
12-may-10,77.674179
13-may-10,153.34248
14-may-10,76.556931
15-may-10,172.8
16-may-10,169.1042
17-may-10,57.200012
18-may-10,48.3125
19-may-10,131.30833
20-may-10,197.63045
21-may-10,160.5208
22-may-10,55.404156
23-may-10,58.541672
24-may-10,39.887501
25-may-10,66.89167
26-may-10,93.133354
27-may-10,280.59579
28-may-10,250.33749
29-may-10,143.29587
30-may-10,330.86252
31-may-10,346.36255
01-jun-10,129.32498
02-jun-10,72.045815
03-jun-10,49.991673
04-jun-10,57.958332
05-jun-10,170.22502
06-jun-10,103.31248
07-jun-10,169.04164
08-jun-10,266.60007
09-jun-10,66.09584
10-jun-10,57.758339
11-jun-10,12.654166
12-jun-10,14.408332
13-jun-10,13.116668
14-jun-10,16.758331
15-jun-10,70.259987
16-jun-10,43.799999
17-jun-10,25.642105
18-jun-10,29.854202
19-jun-10,29.533409
20-jun-10,18.850437
21-jun-10,28.108471
22-jun-10,7.8167934
23-jun-10,19.014111
24-jun-10,30.598738
25-jun-10,110.71895
26-jun-10,95.285721
27-jun-10,54.680637
28-jun-10,31.903116
29-jun-10,21.668158
30-jun-10,15.035014
01-jul-10,21.804193
02-jul-10,47.044582
03-jul-10,44.597435
04-jul-10,34.043266
05-jul-10,17.294447
06-jul-10,18.301228
07-jul-10,16.390774
08-jul-10,57.818989
09-jul-10,125.27229
10-jul-10,34.731632
11-jul-10,24.229712
12-jul-10,55.045002
13-jul-10,87.817749
14-jul-10,56.950035
15-jul-10,18.634674
16-jul-10,58.905777
17-jul-10,82.060509
18-jul-10,81.074699
19-jul-10,23.823397
20-jul-10,53.917515
21-jul-10,50.619671
22-jul-10,21.075485
23-jul-10,8.0256033
24-jul-10,28.538193
25-jul-10,32.471054
26-jul-10,48.532093
27-jul-10,55.827171
28-jul-10,45.704716
29-jul-10,29.503407
30-jul-10,33.480621
31-jul-10,46.283817
01aug2010,116.07214
02aug2010,90.366089
03aug2010,12.311204
04aug2010,37.518459
05aug2010,58.584484
06aug2010,61.588741
07aug2010,66.55442
08aug2010,222.66083
09aug2010,109.15392
10aug2010,145.19704
11aug2010,104.18491
12aug2010,80.705307
13aug2010,81.596886
14aug2010,108.71873
15aug2010,39.126537
16aug2010,5.2895932
17aug2010,9.4034576
18aug2010,38.662239
19aug2010,116.14854
20aug2010,58.850384
21aug2010,39.703293
22aug2010,35.399471
23aug2010,31.394909
24aug2010,15.703271
25aug2010,12.936612
26aug2010,30.708334
27aug2010,13.979168
28aug2010,105.19167
29aug2010,105.14143
30aug2010,44.431023
31aug2010,77.075005
01-sept-10,101.81549
02-sept-10,87.354958
03-sept-10,80.040794
04-sept-10,62.669422
05-sept-10,49.323776
06-sept-10,70.2621
07-sept-10,26.795654
08-sept-10,45.724998
09-sept-10,51.654545
10-sept-10,67.462486
11-sept-10,53.683331
12-sept-10,64.641655
13-sept-10,38.895004
14-sept-10,69.929161
15-sept-10,102.11665
16-sept-10,73.029152
17-sept-10,84.358315
18-sept-10,67.591667
19-sept-10,43.258339
20-sept-10,45.537495
21-sept-10,69.704178
22-sept-10,76.295815
23-sept-10,63.108322
24-sept-10,52.237495
25-sept-10,64.125
26-sept-10,31.70833
27-sept-10,45.929874
28-sept-10,45.572651
29-sept-10,72.088669
30-sept-10,45.803135
01-oct-10,60.47979
02-oct-10,51.462154
03-oct-10,63.015133
04-oct-10,50.960304
05-oct-10,28.581308
06-oct-10,47.45454
07-oct-10,61.986488
08-oct-10,42.29554
09-oct-10,25.099997
10-oct-10,16.200001
11-oct-10,14.083334
12-oct-10,17.004168
13-oct-10,19.181818
14-oct-10,18.087391
15-oct-10,23.862501
16-oct-10,27.341667
17-oct-10,25.704166
18-oct-10,31.545834
19-oct-10,16.283333
20-oct-10,9.6880541
21-oct-10,15.664461
22-oct-10,14.970833
23-oct-10,28.491671
24-oct-10,36.766666
25-oct-10,15.087499
26-oct-10,16.633333
27-oct-10,10.525
28-oct-10,17.687502
29-oct-10,14.412499
30-oct-10,18.466665
31-oct-10,18.320833
01-nov-10,17.629168
02-nov-10,12.2125
03-nov-10,14.666667
04-nov-10,13.670834
05-nov-10,18.337502
06-nov-10,13.554167
07-nov-10,15.954167
08-nov-10,26.450001
09-nov-10,16.974998
10-nov-10,12.408333
11-nov-10,13.462501
12-nov-10,12.329165
13-nov-10,11.379167
14-nov-10,14.104167
15-nov-10,13.516667
16-nov-10,11.726088
17-nov-10,9.8541679
18-nov-10,9.3272724
19-nov-10,16.337498
20-nov-10,15.441665
21-nov-10,15.9875
22-nov-10,12.329165
23-nov-10,13.200001
24-nov-10,13.608332
25-nov-10,14.183334
26-nov-10,12.483335
27-nov-10,14.870834
28-nov-10,16.537498
29-nov-10,16.895834
30-nov-10,17.058334
01dec2010,15.687498
02dec2010,16.587498
03dec2010,19.912502
04dec2010,12.650001
05dec2010,9.6833334
06dec2010,12.874999
07dec2010,13.337499
08dec2010,14.187501
09dec2010,12.222727
10dec2010,16.433334
11dec2010,30.287502
12dec2010,28.250002
13dec2010,12.441669
14dec2010,11.775
15dec2010,8.6208334
16dec2010,10.554166
17dec2010,14.041666
18dec2010,15.279167
19dec2010,15.566669
20dec2010,14.320832
21dec2010,10.045834
22dec2010,9.9041672
23dec2010,11.933332
24dec2010,11.591666
25dec2010,10.35
26dec2010,11.725
27dec2010,13.183334
28dec2010,14.145832
29dec2010,12.654166
30dec2010,20.133333
31dec2010,17.295832
01jan2011,13.725001
02jan2011,15.195832
03jan2011,12.6875
04jan2011,13.079166
05jan2011,13.900001
06jan2011,13.312499
07jan2011,19.494736
08jan2011,13.125455
09jan2011,21.862499
10jan2011,16.942652
11jan2011,30.170832
12jan2011,11.522211
13jan2011,42.861904
14jan2011,22.249998
15jan2011,28.76667
16jan2011,24.831818
17jan2011,23.960871
18jan2011,26.941666
19jan2011,24.858332
20jan2011,19.574999
21jan2011,19.625
22jan2011,21.125002
23jan2011,20.170834
24jan2011,25.354166
25jan2011,13.647533
26jan2011,12.33364
27jan2011,9.3693047
28jan2011,14.933333
29jan2011,14.862501
30jan2011,21.704165
31jan2011,15.220833
01-feb-11,16.2125
02-feb-11,23.729166
03-feb-11,17.725002
04-feb-11,17.820835
05-feb-11,17.695833
06-feb-11,17.395834
07-feb-11,24.095835
08-feb-11,21.308334
09-feb-11,23.987501
10-feb-11,26.421738
11-feb-11,56.576191
12-feb-11,9.6000004
13-feb-11,8.8043489
14-feb-11,24.950001
15-feb-11,14.6408
16-feb-11,12.845834
17-feb-11,13.099879
18-feb-11,10.189692
19-feb-11,17.2125
20-feb-11,18.875
21-feb-11,13.858333
22-feb-11,17.608332
23-feb-11,18.612499
24-feb-11,18.339132
25-feb-11,22.879169
26-feb-11,16.879166
27-feb-11,11.483334
28-feb-11,17.933336
01-mar-11,17.545832
02-mar-11,17.958336
03-mar-11,19.204166
04-mar-11,18.737501
05-mar-11,19.283333
06-mar-11,13.220832
07-mar-11,19.295834
08-mar-11,19.616669
09-mar-11,20.833334
10-mar-11,23.165215
11-mar-11,26.254166
12-mar-11,28.479166
13-mar-11,23.391665
14-mar-11,21.895832
15-mar-11,27.183331
16-mar-11,27.552176
17-mar-11,30.604166
18-mar-11,32.487503
19-mar-11,26.445831
20-mar-11,25.604761
21-mar-11,15.062501
22-mar-11,17.44869
23-mar-11,27.699999
24-mar-11,24.708336
25-mar-11,48.795837
26-mar-11,60.570843
27-mar-11,44.82917
28-mar-11,26.234617
29-mar-11,38.863636
30-mar-11,24.170832
31-mar-11,23.574999
01apr2011,53.105007
02apr2011,29.575003
03apr2011,20.554167
04apr2011,27.312498
05apr2011,24.045832
06apr2011,23.591663
07apr2011,28.04167
08apr2011,54.258331
09apr2011,72.224991
10apr2011,38.891666
11apr2011,39.604168
12apr2011,31.133337
13apr2011,32.808697
14apr2011,96.933311
15apr2011,101.61252
16apr2011,66.283318
17apr2011,97.265198
18apr2011,81.32917
19apr2011,65.539124
20apr2011,49.491661
21apr2011,24.966669
22apr2011,31.65
23apr2011,39.991669
24apr2011,58.279999
25apr2011,38.556885
26apr2011,58.188225
27apr2011,56.332489
28apr2011,44.19445
29apr2011,74.057373
30apr2011,118.58896
01-may-11,135.28949
02-may-11,125.56664
03-may-11,94.400009
04-may-11,81.554993
05-may-11,65.145195
06-may-11,121.80235
07-may-11,83.631813
08-may-11,75.895844
09-may-11,99.099998
10-may-11,63.661118
11-may-11,159.82402
12-may-11,141.48898
13-may-11,66.966667
14-may-11,38.087502
15-may-11,80.140121
16-may-11,103.62692
17-may-11,123.24717
18-may-11,40.273685
19-may-11,60.201126
20-may-11,86.569992
21-may-11,60.090908
22-may-11,147.27225
23-may-11,219.18109
24-may-11,60.375652
25-may-11,164.79999
26-may-11,151.32549
27-may-11,48.021053
28-may-11,31.304544
29-may-11,44.092899
30-may-11,67.436951
31-may-11,93.433327
01-jun-11,129.69168
02-jun-11,85.538086
03-jun-11,126.97919
04-jun-11,41.08334
05-jun-11,84.083344
06-jun-11,41.805264
07-jun-11,18.18458
08-jun-11,29.069422
09-jun-11,25.92
10-jun-11,37.140903
11-jun-11,35.462498
12-jun-11,222.43755
13-jun-11,254.13185
14-jun-11,50.594997
15-jun-11,44.279999
16-jun-11,28.191668
17-jun-11,29.912731
18-jun-11,22.400002
19-jun-11,45.849995
20-jun-11,140.0739
21-jun-11,179.96663
22-jun-11,96.599983
23-jun-11,91.469582
24-jun-11,98.96669
25-jun-11,113.61302
26-jun-11,99.599976
27-jun-11,125.93752
28-jun-11,49.469566
29-jun-11,44.326084
30-jun-11,48.766666
01-jul-11,184.05458
02-jul-11,182.05832
03-jul-11,158.9478
04-jul-11,211.06248
05-jul-11,116.84169
06-jul-11,201.87914
07-jul-11,201.0708
08-jul-11,84.927277
09-jul-11,51.59565
10-jul-11,52.813637
11-jul-11,46.995647
12-jul-11,41.149998
13-jul-11,23.445835
14-jul-11,23.113638
15-jul-11,32.535004
16-jul-11,45.137501
17-jul-11,126.97083
18-jul-11,90.469559
19-jul-11,114.24548
20-jul-11,43.704166
21-jul-11,67.804337
22-jul-11,72.317383
23-jul-11,152.01253
24-jul-11,31.355001
25-jul-11,44.913631
26-jul-11,45.091667
27-jul-11,33.449997
28-jul-11,59.02916
29-jul-11,147.65216
30-jul-11,188.59586
31-jul-11,126.79586
01aug2011,47.875
02aug2011,71.320839
03aug2011,143.6125
04aug2011,34.824997
05aug2011,27.6875
06aug2011,101.43916
07aug2011,105.57085
08aug2011,25.054169
09aug2011,55.165215
10aug2011,27.471432
11aug2011,40.395649
12aug2011,45.491669
13aug2011,106.15834
14aug2011,129.21669
15aug2011,45.152168
16aug2011,27.35
17aug2011,49.095837
18aug2011,189.52919
19aug2011,194.79169
20aug2011,121.11668
21aug2011,176.02913
22aug2011,82.579155
23aug2011,77.908348
24aug2011,94.050003
25aug2011,70.125008
26aug2011,27.29167
27aug2011,38.886955
28aug2011,19.975002
29aug2011,45.229164
30aug2011,95.620857
31aug2011,105.05002
01-sept-11,36.179161
02-sept-11,38.033337
03-sept-11,43.183331
04-sept-11,34.012501
05-sept-11,57.016663
06-sept-11,98.149994
07-sept-11,68.279167
08-sept-11,35.854164
09-sept-11,35.000004
10-sept-11,43.491669
11-sept-11,31.408333
12-sept-11,61.399994
13-sept-11,121.57918
14-sept-11,110.14346
15-sept-11,48.695831
16-sept-11,81.487511
17-sept-11,96.954163
18-sept-11,40.608334
19-sept-11,42.883331
20-sept-11,27.987501
21-sept-11,35.966663
22-sept-11,45.787498
23-sept-11,74.100006
24-sept-11,65.078255
25-sept-11,78.945839
26-sept-11,75.900002
27-sept-11,42.950001
28-sept-11,26.287498
29-sept-11,30.282606
30-sept-11,38.354168
01-oct-11,50.987503
02-oct-11,37.595657
03-oct-11,35.029163
04-oct-11,55.890907
05-oct-11,34.970833
06-oct-11,23.804546
07-oct-11,35.213047
08-oct-11,34.243477
09-oct-11,45.721741
10-oct-11,37.517387
11-oct-11,40.616669
12-oct-11,34.12273
13-oct-11,33.959087
14-oct-11,30.845829
15-oct-11,34.139126
16-oct-11,32.23333
17-oct-11,42.865215
18-oct-11,33.508698
19-oct-11,44.885715
20-oct-11,39.669998
21-oct-11,40.390911
22-oct-11,47.542862
23-oct-11,46.837502
24-oct-11,27.805151
25-oct-11,23.295237
26-oct-11,21.090479
27-oct-11,15.891665
28-oct-11,15.859999
29-oct-11,11.095652
30-oct-11,15.991667
31-oct-11,30.16087
01-nov-11,10.856521
02-nov-11,14.933333
03-nov-11,14.283334
04-nov-11,11.295454
05-nov-11,12.540909
06-nov-11,12.873912
07-nov-11,11.891305
08-nov-11,14.074999
09-nov-11,20.352173
10-nov-11,14.534784
11-nov-11,16.821741
12-nov-11,13.283334
13-nov-11,12.352174
14-nov-11,11.682609
15-nov-11,15.045833
16-nov-11,15.058332
17-nov-11,14.237499
18-nov-11,12.787499
19-nov-11,15.091668
20-nov-11,12.249999
21-nov-11,17.147827
22-nov-11,14.525001
23-nov-11,16.526089
24-nov-11,14.733335
25-nov-11,13.526088
26-nov-11,12.609092
27-nov-11,13.679168
28-nov-11,11.843479
29-nov-11,12.195653
30-nov-11,11.995832
01dec2011,14.895833
02dec2011,16.779165
03dec2011,13.3625
04dec2011,13.775001
05dec2011,16.583334
06dec2011,14.224999
07dec2011,13.741667
08dec2011,12.37619
09dec2011,13.019047
10dec2011,13.013044
11dec2011,12.40909
12dec2011,15.308333
13dec2011,11.504166
14dec2011,12.675001
15dec2011,12.487499
16dec2011,10.904166
17dec2011,12.429166
18dec2011,12
19dec2011,13.91739
20dec2011,13.865217
21dec2011,14.947618
22dec2011,11.4
23dec2011,15.604169
24dec2011,11.370832
25dec2011,15.545832
26dec2011,15.51818
27dec2011,13.599999
28dec2011,15.344999
29dec2011,10.307926
30dec2011,15.765217
31dec2011,13.981818
01jan2012,9.5526314
02jan2012,12.554167
03jan2012,11.917391
04jan2012,13.162499
05jan2012,13.285713
06jan2012,14.770835
07jan2012,15.899999
08jan2012,14.782609
09jan2012,11.504761
10jan2012,10.431818
11jan2012,8.7666664
12jan2012,7.2874999
13jan2012,8.062501
14jan2012,9.2833338
15jan2012,5.1333332
16jan2012,7.6625004
17jan2012,5.3500004
18jan2012,6.7416668
19jan2012,6.2750001
20jan2012,5.6782608
21jan2012,6.7913041
22jan2012,6.5363636
23jan2012,8.389473
24jan2012,7.9166665
25jan2012,11.886956
26jan2012,8.3954535
27jan2012,8.5857143
28jan2012,6.5749998
29jan2012,6.5636368
30jan2012,6.3857145
31jan2012,6.6608691
01-feb-12,6.9434781
02-feb-12,5.5649996
03-feb-12,6.2708335
04-feb-12,6.3125
05-feb-12,6.2999997
06-feb-12,7.2916665
07-feb-12,5.8291664
08-feb-12,7.7565212
09-feb-12,8.7624998
10-feb-12,5.8124995
11-feb-12,5.9666672
12-feb-12,6.4708333
13-feb-12,5.9333329
14-feb-12,10.8
15-feb-12,6.9708333
16-feb-12,7.1916666
17-feb-12,7.1875005
18-feb-12,4.5285711
19-feb-12,5.8083334
20-feb-12,7.1041665
21-feb-12,6.208333
22-feb-12,6.9916668
23-feb-12,6.1916666
24-feb-12,10.675001
25-feb-12,5.0749998
26-feb-12,6.1380954
27-feb-12,4.7909088
28-feb-12,5.8208332
29-feb-12,7.9000006
01-mar-12,9.5347834
02-mar-12,11.529999
03-mar-12,8.272727
04-mar-12,8.9727287
05-mar-12,9.5608702
06-mar-12,11.200001
07-mar-12,6.2208333
08-mar-12,8.8532
09-mar-12,9.3590441
10-mar-12,9.7299662
11-mar-12,10.497225
12-mar-12,10.376378
13-mar-12,10.399999
14-mar-12,10.085714
15-mar-12,19.291302
16-mar-12,9.6916676
17-mar-12,12.187499
18-mar-12,18.743481
19-mar-12,10.081818
20-mar-12,6.8434782
21-mar-12,7.8416662
22-mar-12,9.4666653
23-mar-12,9.6291676
24-mar-12,8.1260862
25-mar-12,8.4958344
26-mar-12,8.6749992
27-mar-12,13.1
28-mar-12,7.4545445
29-mar-12,18.39271
30-mar-12,17.03196
31-mar-12,9.895833
01apr2012,9.7695665
02apr2012,12.047619
03apr2012,15.394737
04apr2012,17.369566
05apr2012,15.927271
06apr2012,12.361905
07apr2012,16.800001
